     92.72,     92.78,     89.47,     90.34,     86.98,76314700.00
     90.00,     91.67,     90.00,     90.52,     87.15,44392800.00
     92.39,     94.39,     91.65,     93.88,     90.39,61259800.00
     94.55,     94.70,     93.01,     93.49,     90.01,46916900.00
     94.16,     95.21,     93.89,     94.56,     91.04,42062400.00
     94.64,     94.64,     93.57,     94.20,     90.70,30442100.00
     94.64,     95.43,     94.52,     95.22,     91.68,32026000.00
     95.87,     97.19,     95.67,     96.43,     92.84,38018600.00
     97.22,     98.09,     96.84,     97.90,     94.26,35140200.00
     98.67,     99.74,     98.11,     99.62,     95.92,38168800.00
     99.68,    100.73,     98.64,    100.41,     96.68,56331200.00
     99.44,    100.47,     99.25,    100.35,     96.62,36229500.00
     99.60,    100.40,     98.82,     99.86,     96.15,42307200.00
     99.02,     99.54,     98.33,     98.46,     94.80,29173300.00
     97.60,     97.84,     96.63,     97.72,     94.09,40191600.00
     97.79,     98.27,     97.45,     97.92,     94.28,28062900.00
     97.99,    101.89,     97.55,     98.63,     94.96,23292500.00
     99.25,     99.87,     98.96,     99.03,     95.35,22409500.00
     99.02,     99.56,     98.68,     98.94,     95.26,20848100.00
     98.50,     99.99,     98.46,     99.65,     95.94,26601400.00
     98.53,     99.35,     98.48,     98.83,     95.15,31712900.00
     98.69,     99.12,     97.10,     97.34,     93.72,38020500.00
     97.32,     98.48,     96.75,     97.46,     93.84,31931900.00
     97.82,     98.41,     97.03,     97.14,     93.53,29445200.00
     96.45,     97.75,     96.07,     97.55,     93.92,31326800.00
     96.62,     96.65,     95.30,     95.33,     91.79,61008200.00
     96.00,     96.57,     95.03,     95.10,     91.56,34411900.00
     94.94,     96.35,     94.68,     95.91,     92.34,35546400.00
     96.25,     96.89,     95.35,     95.55,     92.00,29219100.00
     95.94,     96.29,     95.25,     96.10,     92.53,32240200.00
     92.91,     94.66,     92.65,     93.40,     89.93,75311400.00
     93.00,     93.05,     91.50,     92.04,     88.62,45489600.00
     92.90,     93.66,     92.14,     93.59,     90.11,40444900.00
     93.97,     94.55,     93.63,     94.40,     90.89,36531000.00
     94.44,     95.77,     94.30,     95.60,     92.05,35836400.00
     95.49,     96.47,     95.33,     95.89,     92.32,26026500.00
     95.39,     95.40,     94.46,     94.99,     91.46,27705200.00
     94.60,     95.66,     94.37,     95.53,     91.98,30949100.00
     95.70,     96.50,     95.62,     95.94,     92.37,25139600.00
     96.49,     96.89,     96.05,     96.68,     93.08,28912100.00
     96.75,     97.65,     96.73,     96.98,     93.37,23794900.00
     97.17,     97.70,     97.12,     97.42,     93.80,24167500.00
     97.41,     97.67,     96.84,     96.87,     93.27,25892200.00
     97.39,     98.99,     97.32,     98.79,     95.12,38919000.00
     98.92,     99.30,     98.50,     98.78,     95.11,30137000.00
     98.70,    100.13,     98.60,     99.83,     96.12,36493900.00
     99.56,    100.00,     99.34,     99.87,     96.16,23779900.00
    100.00,    100.46,     99.74,     99.96,     96.24,26276000.00
     99.83,    101.00,     99.13,     99.43,     95.73,32702000.00
     99.26,     99.30,     98.31,     98.66,     94.99,28313700.00
     98.25,     98.84,     96.92,     97.34,     93.72,40382900.00
